admissionNumber,amount,amountPaid,term,academicYear,dueDate,paymentStatus
3030,36219,25492,Term 1,2024/2025,2024-07-15,partial
3031,37057,20703,Term 1,2024/2025,2024-02-23,partial
3032,40266,13672,Term 1,2024/2025,2024-05-15,partial
3033,39708,35259,Term 1,2024/2025,2024-05-12,partial
3034,38756,23951,Term 1,2024/2025,2024-05-03,partial
3035,38123,20159,Term 1,2024/2025,2024-05-13,partial
3036,36455,0,Term 1,2024/2025,2024-04-17,pending
3037,39163,39163,Term 1,2024/2025,2024-04-02,paid
3038,38524,38524,Term 1,2024/2025,2024-03-25,paid
3039,38397,38397,Term 1,2024/2025,2024-05-21,paid
3040,38651,13492,Term 1,2024/2025,2024-02-28,partial
3041,35111,35111,Term 1,2024/2025,2024-03-12,paid
3042,43977,24720,Term 1,2024/2025,2024-04-30,partial
3043,39532,12477,Term 1,2024/2025,2024-03-06,partial
3044,39947,0,Term 1,2024/2025,2024-06-27,pending
3045,37986,16370,Term 1,2024/2025,2024-02-14,partial
3046,38189,38189,Term 1,2024/2025,2024-04-08,paid
3047,37486,37486,Term 1,2024/2025,2024-04-22,paid
3048,36433,0,Term 1,2024/2025,2024-05-05,pending
3049,40346,18452,Term 1,2024/2025,2024-05-18,partial
3050,38958,26436,Term 1,2024/2025,2024-03-13,partial
3051,36303,20046,Term 1,2024/2025,2024-04-25,partial
3052,42459,19128,Term 1,2024/2025,2024-05-02,partial
3053,35408,35408,Term 1,2024/2025,2024-01-21,paid
3054,35547,35547,Term 1,2024/2025,2024-06-18,paid
