admissionNumber,form,term,academicYear,english_score,english_grade,english_points,kiswahili_score,kiswahili_grade,kiswahili_points,mathematics_score,mathematics_grade,mathematics_points,biology_score,biology_grade,biology_points,physics_score,physics_grade,physics_points,chemistry_score,chemistry_grade,chemistry_points,history_score,history_grade,history_points,geography_score,geography_grade,geography_points,cre_score,cre_grade,cre_points,business_studies_score,business_studies_grade,business_studies_points,agriculture_score,agriculture_grade,agriculture_points
3030,Form 2,Term 1,2024/2025,52,C,6,80,A,12,89,A,12,56,C+,7,47,C-,5,59,C+,7,81,A,12,70,B+,10,41,D+,4,82,A,12,73,B+,10
3031,Form 2,Term 1,2024/2025,78,A-,11,75,A-,11,84,A,12,62,B-,8,85,A,12,70,B+,10,41,D+,4,89,A,12,55,C+,7,94,A,12,74,B+,10
3032,Form 2,Term 1,2024/2025,61,B-,8,57,C+,7,100,A,12,82,A,12,60,B-,8,51,C,6,88,A,12,28,E,0,63,B-,8,34,E,0,58,C+,7
3033,Form 2,Term 1,2024/2025,91,A,12,49,C-,5,100,A,12,72,B+,10,65,B,9,33,E,0,77,A-,11,25,E,0,70,B+,10,80,A,12,43,D+,4
3034,Form 2,Term 1,2024/2025,81,A,12,73,B+,10,80,A,12,35,D,3,35,D,3,87,A,12,53,C,6,39,D,3,24,E,0,46,C-,5,76,A-,11
3035,Form 2,Term 1,2024/2025,72,B+,10,61,B-,8,54,C,6,54,C,6,70,B+,10,67,B,9,91,A,12,67,B,9,52,C,6,55,C+,7,53,C,6
3036,Form 2,Term 1,2024/2025,51,C,6,59,C+,7,83,A,12,37,D,3,73,B+,10,99,A,12,99,A,12,80,A,12,60,B-,8,27,E,0,73,B+,10
3037,Form 2,Term 1,2024/2025,100,A,12,89,A,12,44,D+,4,37,D,3,88,A,12,93,A,12,56,C+,7,43,D+,4,66,B,9,46,C-,5,25,E,0
3038,Form 2,Term 1,2024/2025,49,C-,5,61,B-,8,44,D+,4,30,E,0,45,C-,5,83,A,12,92,A,12,50,C,6,47,C-,5,91,A,12,24,E,0
3039,Form 2,Term 1,2024/2025,78,A-,11,45,C-,5,93,A,12,65,B,9,67,B,9,78,A-,11,88,A,12,28,E,0,42,D+,4,74,B+,10,48,C-,5
3040,Form 2,Term 1,2024/2025,66,B,9,81,A,12,43,D+,4,88,A,12,82,A,12,54,C,6,60,B-,8,32,E,0,68,B,9,59,C+,7,32,E,0
3041,Form 2,Term 1,2024/2025,81,A,12,45,C-,5,37,D,3,57,C+,7,78,A-,11,77,A-,11,34,E,0,66,B,9,53,C,6,86,A,12,63,B-,8
3042,Form 2,Term 1,2024/2025,50,C,6,59,C+,7,29,E,0,48,C-,5,74,B+,10,40,D+,4,91,A,12,74,B+,10,48,C-,5,77,A-,11,68,B,9
3043,Form 2,Term 1,2024/2025,78,A-,11,51,C,6,63,B-,8,56,C+,7,63,B-,8,78,A-,11,63,B-,8,42,D+,4,42,D+,4,82,A,12,67,B,9
3044,Form 2,Term 1,2024/2025,82,A,12,96,A,12,35,D,3,99,A,12,53,C,6,36,D,3,34,E,0,48,C-,5,44,D+,4,65,B,9,93,A,12
3045,Form 2,Term 1,2024/2025,89,A,12,87,A,12,23,E,0,40,D+,4,49,C-,5,21,E,0,31,E,0,45,C-,5,79,A-,11,99,A,12,28,E,0
3046,Form 2,Term 1,2024/2025,70,B+,10,33,E,0,45,C-,5,71,B+,10,52,C,6,39,D,3,76,A-,11,78,A-,11,41,D+,4,32,E,0,44,D+,4
3047,Form 2,Term 1,2024/2025,41,D+,4,35,D,3,50,C,6,74,B+,10,93,A,12,36,D,3,77,A-,11,77,A-,11,81,A,12,73,B+,10,43,D+,4
3048,Form 2,Term 1,2024/2025,56,C+,7,62,B-,8,52,C,6,93,A,12,56,C+,7,64,B-,8,26,E,0,78,A-,11,63,B-,8,38,D,3,66,B,9
3049,Form 2,Term 1,2024/2025,63,B-,8,30,E,0,75,A-,11,80,A,12,68,B,9,39,D,3,64,B-,8,89,A,12,66,B,9,72,B+,10,75,A-,11
3050,Form 2,Term 1,2024/2025,69,B,9,30,E,0,57,C+,7,34,E,0,44,D+,4,78,A-,11,60,B-,8,83,A,12,61,B-,8,66,B,9,42,D+,4
3051,Form 2,Term 1,2024/2025,51,C,6,71,B+,10,84,A,12,36,D,3,73,B+,10,58,C+,7,95,A,12,92,A,12,77,A-,11,77,A-,11,59,C+,7
3052,Form 2,Term 1,2024/2025,51,C,6,76,A-,11,54,C,6,98,A,12,40,D+,4,32,E,0,79,A-,11,55,C+,7,62,B-,8,44,D+,4,81,A,12
3053,Form 2,Term 1,2024/2025,41,D+,4,38,D,3,46,C-,5,65,B,9,70,B+,10,69,B,9,95,A,12,85,A,12,85,A,12,82,A,12,89,A,12
3054,Form 2,Term 1,2024/2025,65,B,9,89,A,12,51,C,6,60,B-,8,56,C+,7,42,D+,4,50,C,6,100,A,12,45,C-,5,60,B-,8,78,A-,11
