admissionNumber,form,term,academicYear,english_score,english_grade,english_points,kiswahili_score,kiswahili_grade,kiswahili_points,mathematics_score,mathematics_grade,mathematics_points,biology_score,biology_grade,biology_points,physics_score,physics_grade,physics_points,chemistry_score,chemistry_grade,chemistry_points,history_score,history_grade,history_points,geography_score,geography_grade,geography_points,cre_score,cre_grade,cre_points,business_studies_score,business_studies_grade,business_studies_points,agriculture_score,agriculture_grade,agriculture_points,computer_studies_score,computer_studies_grade,computer_studies_points
3055,Form 3,Term 1,2024/2025,44,D+,4,48,C-,5,46,C-,5,87,A,12,78,A-,11,96,A,12,28,E,0,41,D+,4,96,A,12,23,E,0,52,C,6,81,A,12
3056,Form 3,Term 1,2024/2025,63,B-,8,58,C+,7,84,A,12,75,A-,11,50,C,6,32,E,0,52,C,6,39,D,3,70,B+,10,95,A,12,62,B-,8,80,A,12
3057,Form 3,Term 1,2024/2025,69,B,9,65,B,9,63,B-,8,73,B+,10,29,E,0,61,B-,8,93,A,12,29,E,0,42,D+,4,35,D,3,62,B-,8,86,A,12
3058,Form 3,Term 1,2024/2025,61,B-,8,72,B+,10,26,E,0,91,A,12,37,D,3,42,D+,4,29,E,0,48,C-,5,79,A-,11,39,D,3,58,C+,7,50,C,6
3059,Form 3,Term 1,2024/2025,66,B,9,48,C-,5,66,B,9,81,A,12,45,C-,5,38,D,3,73,B+,10,44,D+,4,81,A,12,72,B+,10,78,A-,11,31,E,0
3060,Form 3,Term 1,2024/2025,87,A,12,32,E,0,80,A,12,72,B+,10,67,B,9,48,C-,5,72,B+,10,69,B,9,63,B-,8,33,E,0,68,B,9,33,E,0
3061,Form 3,Term 1,2024/2025,46,C-,5,67,B,9,78,A-,11,68,B,9,43,D+,4,84,A,12,87,A,12,51,C,6,73,B+,10,70,B+,10,55,C+,7,86,A,12
3062,Form 3,Term 1,2024/2025,73,B+,10,100,A,12,66,B,9,22,E,0,61,B-,8,47,C-,5,53,C,6,40,D+,4,88,A,12,40,D+,4,62,B-,8,50,C,6
3063,Form 3,Term 1,2024/2025,59,C+,7,79,A-,11,63,B-,8,43,D+,4,35,D,3,83,A,12,46,C-,5,58,C+,7,41,D+,4,46,C-,5,91,A,12,48,C-,5
3064,Form 3,Term 1,2024/2025,73,B+,10,46,C-,5,41,D+,4,85,A,12,60,B-,8,99,A,12,44,D+,4,33,E,0,68,B,9,62,B-,8,74,B+,10,83,A,12
3065,Form 3,Term 1,2024/2025,35,D,3,41,D+,4,59,C+,7,62,B-,8,63,B-,8,27,E,0,39,D,3,100,A,12,68,B,9,36,D,3,38,D,3,75,A-,11
3066,Form 3,Term 1,2024/2025,36,D,3,88,A,12,94,A,12,53,C,6,46,C-,5,41,D+,4,51,C,6,50,C,6,54,C,6,63,B-,8,59,C+,7,77,A-,11
3067,Form 3,Term 1,2024/2025,83,A,12,85,A,12,76,A-,11,48,C-,5,75,A-,11,50,C,6,37,D,3,74,B+,10,64,B-,8,59,C+,7,94,A,12,54,C,6
3068,Form 3,Term 1,2024/2025,100,A,12,64,B-,8,60,B-,8,78,A-,11,40,D+,4,40,D+,4,57,C+,7,84,A,12,37,D,3,80,A,12,95,A,12,30,E,0
3069,Form 3,Term 1,2024/2025,43,D+,4,61,B-,8,80,A,12,88,A,12,57,C+,7,23,E,0,39,D,3,63,B-,8,95,A,12,57,C+,7,47,C-,5,66,B,9
3070,Form 3,Term 1,2024/2025,73,B+,10,74,B+,10,26,E,0,75,A-,11,95,A,12,79,A-,11,78,A-,11,65,B,9,89,A,12,39,D,3,40,D+,4,45,C-,5
3071,Form 3,Term 1,2024/2025,62,B-,8,60,B-,8,92,A,12,41,D+,4,46,C-,5,41,D+,4,72,B+,10,62,B-,8,66,B,9,74,B+,10,42,D+,4,44,D+,4
3072,Form 3,Term 1,2024/2025,79,A-,11,72,B+,10,86,A,12,75,A-,11,82,A,12,25,E,0,81,A,12,39,D,3,58,C+,7,69,B,9,93,A,12,84,A,12
3073,Form 3,Term 1,2024/2025,44,D+,4,82,A,12,68,B,9,72,B+,10,59,C+,7,91,A,12,75,A-,11,42,D+,4,65,B,9,54,C,6,71,B+,10,63,B-,8
3074,Form 3,Term 1,2024/2025,54,C,6,91,A,12,42,D+,4,54,C,6,33,E,0,56,C+,7,38,D,3,35,D,3,78,A-,11,47,C-,5,54,C,6,51,C,6
3075,Form 3,Term 1,2024/2025,32,E,0,52,C,6,80,A,12,88,A,12,81,A,12,34,E,0,40,D+,4,47,C-,5,76,A-,11,63,B-,8,59,C+,7,38,D,3
3076,Form 3,Term 1,2024/2025,44,D+,4,69,B,9,33,E,0,45,C-,5,96,A,12,32,E,0,77,A-,11,71,B+,10,99,A,12,50,C,6,95,A,12,89,A,12
3077,Form 3,Term 1,2024/2025,70,B+,10,32,E,0,36,D,3,81,A,12,92,A,12,73,B+,10,41,D+,4,32,E,0,33,E,0,68,B,9,70,B+,10,56,C+,7
3078,Form 3,Term 1,2024/2025,85,A,12,75,A-,11,84,A,12,57,C+,7,78,A-,11,80,A,12,81,A,12,26,E,0,79,A-,11,37,D,3,27,E,0,31,E,0
3079,Form 3,Term 1,2024/2025,64,B-,8,61,B-,8,72,B+,10,54,C,6,59,C+,7,76,A-,11,97,A,12,47,C-,5,57,C+,7,60,B-,8,71,B+,10,48,C-,5
