admissionNumber,form,term,academicYear,english_score,english_grade,english_points,kiswahili_score,kiswahili_grade,kiswahili_points,mathematics_score,mathematics_grade,mathematics_points,biology_score,biology_grade,biology_points,physics_score,physics_grade,physics_points,chemistry_score,chemistry_grade,chemistry_points,history_score,history_grade,history_points,geography_score,geography_grade,geography_points,cre_score,cre_grade,cre_points,business_studies_score,business_studies_grade,business_studies_points
3080,Form 4,Term 1,2024/2025,71,B+,10,40,D+,4,96,A,12,33,E,0,76,A-,11,48,C-,5,59,C+,7,65,B,9,62,B-,8,30,E,0
3081,Form 4,Term 1,2024/2025,43,D+,4,41,D+,4,58,C+,7,45,C-,5,83,A,12,70,B+,10,75,A-,11,24,E,0,81,A,12,84,A,12
3082,Form 4,Term 1,2024/2025,76,A-,11,49,C-,5,64,B-,8,70,B+,10,46,C-,5,71,B+,10,69,B,9,92,A,12,43,D+,4,63,B-,8
3083,Form 4,Term 1,2024/2025,58,C+,7,66,B,9,60,B-,8,48,C-,5,56,C+,7,84,A,12,51,C,6,38,D,3,39,D,3,82,A,12
3084,Form 4,Term 1,2024/2025,100,A,12,48,C-,5,56,C+,7,55,C+,7,70,B+,10,38,D,3,80,A,12,65,B,9,33,E,0,41,D+,4
3085,Form 4,Term 1,2024/2025,56,C+,7,77,A-,11,76,A-,11,34,E,0,74,B+,10,71,B+,10,50,C,6,60,B-,8,45,C-,5,85,A,12
3086,Form 4,Term 1,2024/2025,62,B-,8,74,B+,10,71,B+,10,36,D,3,49,C-,5,76,A-,11,84,A,12,67,B,9,62,B-,8,67,B,9
3087,Form 4,Term 1,2024/2025,64,B-,8,82,A,12,28,E,0,84,A,12,94,A,12,40,D+,4,83,A,12,47,C-,5,71,B+,10,70,B+,10
3088,Form 4,Term 1,2024/2025,80,A,12,86,A,12,59,C+,7,47,C-,5,50,C,6,37,D,3,41,D+,4,70,B+,10,97,A,12,47,C-,5
3089,Form 4,Term 1,2024/2025,60,B-,8,74,B+,10,28,E,0,66,B,9,85,A,12,74,B+,10,100,A,12,50,C,6,80,A,12,35,D,3
3090,Form 4,Term 1,2024/2025,90,A,12,82,A,12,36,D,3,48,C-,5,63,B-,8,43,D+,4,60,B-,8,76,A-,11,93,A,12,92,A,12
3091,Form 4,Term 1,2024/2025,24,E,0,58,C+,7,37,D,3,22,E,0,47,C-,5,97,A,12,35,D,3,47,C-,5,30,E,0,76,A-,11
3092,Form 4,Term 1,2024/2025,44,D+,4,35,D,3,76,A-,11,50,C,6,64,B-,8,37,D,3,36,D,3,42,D+,4,62,B-,8,35,D,3
3093,Form 4,Term 1,2024/2025,66,B,9,59,C+,7,92,A,12,38,D,3,80,A,12,88,A,12,31,E,0,72,B+,10,72,B+,10,92,A,12
3094,Form 4,Term 1,2024/2025,55,C+,7,68,B,9,27,E,0,85,A,12,83,A,12,46,C-,5,86,A,12,27,E,0,29,E,0,50,C,6
3095,Form 4,Term 1,2024/2025,57,C+,7,43,D+,4,62,B-,8,49,C-,5,88,A,12,33,E,0,72,B+,10,40,D+,4,31,E,0,38,D,3
3096,Form 4,Term 1,2024/2025,44,D+,4,53,C,6,94,A,12,61,B-,8,62,B-,8,70,B+,10,73,B+,10,87,A,12,70,B+,10,76,A-,11
3097,Form 4,Term 1,2024/2025,27,E,0,97,A,12,100,A,12,49,C-,5,76,A-,11,97,A,12,92,A,12,63,B-,8,58,C+,7,83,A,12
3098,Form 4,Term 1,2024/2025,80,A,12,45,C-,5,30,E,0,34,E,0,93,A,12,54,C,6,64,B-,8,42,D+,4,91,A,12,81,A,12
3099,Form 4,Term 1,2024/2025,43,D+,4,53,C,6,40,D+,4,89,A,12,97,A,12,84,A,12,55,C+,7,52,C,6,88,A,12,70,B+,10
